Individus,Cas SNIF,IICR,Taille,M,Echantillon,Omega,n_inf,M_inf,N0_inf
516,104,35,1x5,50,11,0.5,,,
517,104,35,1x5,50,11,0.5,,,
518,104,35,1x5,50,11,0.5,,,
519,104,35,1x5,50,11,0.5,,,
520,104,35,1x5,50,11,0.5,,,
521,105,35,1x5,50,11,1,,,
522,105,35,1x5,50,11,1,,,
523,105,35,1x5,50,11,1,,,
524,105,35,1x5,50,11,1,,,
525,105,35,1x5,50,11,1,,,
526,106,36,1x5,50,12,0.3,,,
527,106,36,1x5,50,12,0.3,,,
528,106,36,1x5,50,12,0.3,,,
529,106,36,1x5,50,12,0.3,,,
530,106,36,1x5,50,12,0.3,,,
531,107,36,1x5,50,12,0.5,,,
532,107,36,1x5,50,12,0.5,,,
533,107,36,1x5,50,12,0.5,,,
534,107,36,1x5,50,12,0.5,,,
535,107,36,1x5,50,12,0.5,,,
536,108,36,1x5,50,12,1,,,
537,108,36,1x5,50,12,1,,,
538,108,36,1x5,50,12,1,,,
539,108,36,1x5,50,12,1,,,
540,108,36,1x5,50,12,1,,,
541,109,37,1x5,50,13,0.3,,,
542,109,37,1x5,50,13,0.3,,,
543,109,37,1x5,50,13,0.3,,,
544,109,37,1x5,50,13,0.3,,,
545,109,37,1x5,50,13,0.3,,,
546,110,37,1x5,50,13,0.5,,,
547,110,37,1x5,50,13,0.5,,,
548,110,37,1x5,50,13,0.5,,,
549,110,37,1x5,50,13,0.5,,,
550,110,37,1x5,50,13,0.5,,,
551,111,37,1x5,50,13,1,,,
552,111,37,1x5,50,13,1,,,
553,111,37,1x5,50,13,1,,,
554,111,37,1x5,50,13,1,,,
555,111,37,1x5,50,13,1,,,
556,112,38,1x5,100,11,0.3,,,
557,112,38,1x5,100,11,0.3,,,
558,112,38,1x5,100,11,0.3,,,
559,112,38,1x5,100,11,0.3,,,
560,112,38,1x5,100,11,0.3,,,
561,113,38,1x5,100,11,0.5,,,
562,113,38,1x5,100,11,0.5,,,
563,113,38,1x5,100,11,0.5,,,
564,113,38,1x5,100,11,0.5,,,
565,113,38,1x5,100,11,0.5,,,
566,114,38,1x5,100,11,1,,,
567,114,38,1x5,100,11,1,,,
568,114,38,1x5,100,11,1,,,
569,114,38,1x5,100,11,1,,,
570,114,38,1x5,100,11,1,,,
571,115,39,1x5,100,12,0.3,,,
572,115,39,1x5,100,12,0.3,,,
573,115,39,1x5,100,12,0.3,,,
574,115,39,1x5,100,12,0.3,,,
575,115,39,1x5,100,12,0.3,,,
576,116,39,1x5,100,12,0.5,,,
577,116,39,1x5,100,12,0.5,,,
578,116,39,1x5,100,12,0.5,,,
579,116,39,1x5,100,12,0.5,,,
580,116,39,1x5,100,12,0.5,,,
581,117,39,1x5,100,12,1,,,
582,117,39,1x5,100,12,1,,,
583,117,39,1x5,100,12,1,,,
584,117,39,1x5,100,12,1,,,
585,117,39,1x5,100,12,1,,,
586,118,40,1x5,100,13,0.3,,,
587,118,40,1x5,100,13,0.3,,,
588,118,40,1x5,100,13,0.3,,,
589,118,40,1x5,100,13,0.3,,,
590,118,40,1x5,100,13,0.3,,,
591,119,40,1x5,100,13,0.5,,,
592,119,40,1x5,100,13,0.5,,,
593,119,40,1x5,100,13,0.5,,,
594,119,40,1x5,100,13,0.5,,,
595,119,40,1x5,100,13,0.5,,,
596,120,40,1x5,100,13,1,,,
597,120,40,1x5,100,13,1,,,
598,120,40,1x5,100,13,1,,,
599,120,40,1x5,100,13,1,,,
600,120,40,1x5,100,13,1,,,
601,121,41,1x6,1,11,0.3,,,
602,121,41,1x6,1,11,0.3,,,
603,121,41,1x6,1,11,0.3,,,
604,121,41,1x6,1,11,0.3,,,
605,121,41,1x6,1,11,0.3,,,
606,122,41,1x6,1,11,0.5,,,
